1. Grama Niladhari Division,2. Gender,3. Age of the child (Years),4. Weight of the child (kg):,5. How would you rate your child’s Overall Academic performances? [.],6. Number of people who live in your household,7. What animal protein sources do you give your child the most?,8. Is seafood available frequently in your area?,9. Does your child eat freshwater fish?,"9. (A) If Yes, mention the most preferred freshwater fish type of the child.","9. (B) If no, what is the reason?","9. (C) If your child hesitates to eat freshwater fish, what are the methods you used to encourage/improve their consumption usually?",10. Why does your child prefer freshwater fish?,11. What is the reason for including freshwater fish in your child’s diet?,12. Has the amount of freshwater fish your family  consumed changed over the last 3 years?,"13. If changed, what is the reason?",14. Have you ever received any guidance or recommendation from a healthcare professional regarding freshwater fish consumption of your child?,15. Have you ever limited your child’s freshwater fish consumption due to any reason?,"16. If Yes, what is the reason?","17. “Freshwater fish is a healthy source of animal protein and provide
other important nutrients for children.”",18. How often does your child eat freshwater fish?,"19. When the child eats freshwater fish, what is the average amount per
day?",20. How many pieces the child eats per meal?,21.What is your child’s favorite way of preparing freshwater fish?,22.What type of freshwater fish usually purchase in your household and how much per month? [Tilapia],22.What type of freshwater fish usually purchase in your household and how much per month? [Korali],22.What type of freshwater fish usually purchase in your household and how much per month? [Hunga],22.What type of freshwater fish usually purchase in your household and how much per month? [Loolla],22.What type of freshwater fish usually purchase in your household and how much per month? [Pethiya],22.What type of freshwater fish usually purchase in your household and how much per month? [Aandha],22.What type of freshwater fish usually purchase in your household and how much per month? [Kawayya],22.What type of freshwater fish usually purchase in your household and how much per month? [Ankutta],22.What type of freshwater fish usually purchase in your household and how much per month? [Magura],22.What type of freshwater fish usually purchase in your household and how much per month? [Karadu issa],22.What type of freshwater fish usually purchase in your household and how much per month? [Carp Spp.],22.What type of freshwater fish usually purchase in your household and how much per month? [Other],"22. (b) If you consume fish other than the above-mentioned species, please mention it here.",23.What are the most frequently purchasing processed freshwater fish products in your household per month? [Dried fish],23.What are the most frequently purchasing processed freshwater fish products in your household per month? [Smoked fish],23.What are the most frequently purchasing processed freshwater fish products in your household per month? [Other],"23. (b) If you consume fish product other than the above-mentioned processed product, please mention it here.",24. What are the barriers to increasing freshwater fish consumption?,25. Where do you usually get the fish from?,"26. Have you noticed any allergies symptoms of your child after eating
Freshwater fish?","27. If Yes, please mention the fish species/s","28. If Yes, which symptoms have you observed?
(You can select more than one option)"
rambewa,female,10,28,Very Good,5,"Meat (Chicken,Beef, Pork, etc.), Fish, Eggs, Dairy Products",No,Yes,Tilapia,,"Cook in different ways to make it more appealing (Fish cutlets, Fish patties, Fish biriyani, Fish sandwiches)",Awareness of nutritional quality,"Nutritional benefits, Health benefits, Freshness, Readily available",No change,,No,No,,Strongly agree,Twice a week,Two meals,2,Fried fish,Less than 2 kg,,,,,,,,,,,,,Less than 0.5 kg,Less than 0.5 kg,,,Expensive,"Fish stall, Fair",No,,
pandukabhayapura,male,5,21.4,Fair,4,"Meat (Chicken,Beef, Pork, etc.), Eggs",Yes,Yes,Not mentioned,,,As a food habit,"Nutritional benefits, Taste",Decreased,High consumption of other animal sources,No,No,,Agree,Every few months,Two meals,2,"Curry (With coconut milk), Fried fish",Less than 2 kg,,,,,,,,,,,,,,,,,"Fewer places to purchase, Expensive, Fish yield is low, ",Fish stall,No,,
rambewa,male,8,35,Excellent,4,"Meat (Chicken,Beef, Pork, etc.), Fish, Eggs, Dairy Products",No,Yes,Loolla,,"Cook in different ways to make it more appealing (Fish cutlets, Fish patties, Fish biriyani, Fish sandwiches)",Milder taste,Nutritional benefits,No change,,No,No,,Agree,3-4 times a week,Two meals,2,Curry (With coconut milk),Less than 2 kg,No purchasing,No purchasing,Less than 2 kg,No purchasing,No purchasing,No purchasing,No purchasing,No purchasing,No purchasing,No purchasing,No purchasing,,0.5 - 1 kg,0.5 - 1 kg,,,Expensive,Fish stall,No,,
diviya udabendawewa,male,5,18,Good,7,Dairy Products,Maybe,No,Not mentioned,Dislike of the taste or texture,Serve with their favorite foods,,,Not mentioned,,Not mentioned,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sadamalgama,male,4,6.5,Good,7,Dairy Products,Yes,Yes,Tilapia ,,"Cook in different ways to make it more appealing (Fish cutlets, Fish patties, Fish biriyani, Fish sandwiches)",As a food habit,Nutritional benefits,Decreased,Expensive ,No,Maybe,Due to some health conditions of the children,Agree,Once a week,One meal,2,"Fish cutlet, Patties, Sandwiches",More than 6 kg,,,,,,,,,,,,,More than 2 kg,,,,Expensive,Delivery vehicles,No,,
sadamalgama,female,7,21,Fair,5,"Meat (Chicken,Beef, Pork, etc.), Fish, Eggs, Dairy Products",Maybe,Yes,Tilapia ,,,"Milder taste, As a food habit","Nutritional benefits, Health benefits",Decreased,Inflation ,No,No,,Agree,Twice a week,Two meals,2,"Curry (With coconut milk), Fried fish, Fish cutlet/patties/sandwiches",Less than 2 kg,Less than 2 kg,,Less than 2 kg,,,,,,,,,,Less than 0.5 kg,Less than 0.5 kg,,,Expensive,"Fish stall, Directly from fishermen",No,,
gonewa,male,10,22,Fair,5,"Meat (Chicken,Beef, Pork, etc.)",No,Yes,Tilapia ,,"Cook in different ways to make it more appealing (Fish cutlets, Fish patties, Fish biriyani, Fish sandwiches)",Milder taste,Nutritional benefits,Decreased,Expensive ,No,No,,Strongly agree,Daily,Two meals,2,Grilled,Less than 2 kg,Less than 2 kg,No purchasing,Less than 2 kg,No purchasing,No purchasing,No purchasing,No purchasing,No purchasing,2 - 4 kg,Less than 2 kg,No purchasing,,1 - 1.5 kg,0.5 - 1 kg,No purchasing,Tilapia ,"Fewer places to purchase, Expensive, Fish yield is low",Delivery vehicles,No,,
sadamalgama,female,5,13,Good,4,"Meat (Chicken,Beef, Pork, etc.), Fish, Eggs, Dairy Products",No,Yes,Tilapia ,,Try different recipes with different flavors,Milder taste,Nutritional benefits,No change,,No,No,,Agree,3-4 times a week,Two meals,1,Curry (Chilled),2 - 4 kg,,,Less than 2 kg,,,,,,,,,,,0.5 - 1 kg,,,Fewer places to purchase,Delivery vehicles,No,,
gonewa,female,9,24,Very Good,7,"Meat (Chicken,Beef, Pork, etc.)",No,No,Not mentioned,Dislike of the taste or texture,Involving child in choosing or cooking the fish,,,Not mentioned,,Not mentioned,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gonewa,male,8,20,Very Good,5,"Meat (Chicken,Beef, Pork, etc.)",No,Yes,Thilapiya,,"Cook in different ways to make it more appealing (Fish cutlets, Fish patties, Fish biriyani, Fish sandwiches)",Milder taste,Nutritional benefits,Decreased,Expensive ,No,No,,Strongly disagree,Daily,One meal,2,Grilled,Less than 2 kg,Less than 2 kg,No purchasing,Less than 2 kg,Less than 2 kg,No purchasing,No purchasing,No purchasing,No purchasing,2 - 4 kg,2 - 4 kg,No purchasing,,0.5 - 1 kg,0.5 - 1 kg,No purchasing,,"Fewer places to purchase, Expensive, Fish yield is low",Delivery vehicles,No,,
